"Ranking","Artist_Name","Spotify_Artist_ID","Spotify_Popularity","Genre","Billboard_Popularity","track_id","track_name","track_release","decade","Danceability","Energy","Valence","Endurance_Index"
87,"Gram Parsons","1KA3WXYMPLxomNuoE22LYd",38,"folk",0,"72DefuF22C6aPKrWhRFCBS","Love Hurts - 2007 Remaster","1974",1970,0.461,0.296,0.303,19
86,"Tupac Shakur","1ZwdS5xdxEREPySFridCfh",78,"hip hop",1,"3ia3dJETSOllPsv3LJkE35","California Love - Original Version","1998-01-01",1990,0.763,0.85,0.761,39.5
85,"Black Sabbath","5M52tdBnJaKSvOpJGz8mfZ",71,"rock",1,"1Y373MqadDRtclJNdnUXVc","Paranoid - 2012 - Remaster","1970-09-18",1970,0.412,0.658,0.454,36
84,"James Taylor","0vn7UBvSQECKJm2817Yf1P",66,"folk",3,"1oht5GevPN9t1T3kG1m1GO","Fire and Rain - 2019 Remaster","1970-02-01",1970,0.597,0.271,0.338,34.5
83,"Eminem","7dGJo4pcD2V6oG8kP0tJRR",90,"hip hop",93,"7lQ8MOhq6IN2w8EYcFNSUk","Without Me","2002-05-26",2000,0.908,0.669,0.662,91.5
82,"Creedence Clearwater Revival","3IYUhFvPQItj6xySrBmZkd",78,"country",31,"2LawezPeJhN4AWuSB0GtAU","Have You Ever Seen The Rain","1970-12-07",1970,0.741,0.697,0.774,54.5
81,"The Drifters","1FqqOl9itIUpXr4jZPIVoT",64,"soul",0,"72Z28IsvEVLjSWdUKEQgZ0","White Christmas","1954",1950,0.578,0.182,0.477,32
80,"Elvis Costello","2BGRfQgtzikz1pzAD0kaEn",54,"pop",0,"31Tp5iKrVUayn65qhg06nE","She","2012",2010,0.333,0.28,0.276,27
79,"The Four Tops","7fIvjotigTGWqjIz6EP1i4",62,"soul",0,"6b6IMqP565TbtFFZg9iFf3","I Can't Help Myself (Sugar Pie, Honey Bunch)","1965",1960,0.667,0.599,0.971,31
78,"The Stooges","4BFMTELQyWJU1SwqcXMBm3",49,"rock",0,"79MMMdYL00iwKVHBSAUkLY","I Wanna Be Your Dog - 2019 Remaster","1969-01-01",1960,0.523,0.941,0.145,24.5
